,train_accuracy,test_accuracy,cv_mean_accuracy,cv_std_accuracy,precision,recall,f1_score,oob_score
voting_soft,0.9809523809523809,0.9111111111111111,0.9714285714285713,0.023328473740792197,0.9155354449472096,0.9111111111111111,0.9107142857142857,
bagging,1.0,0.9111111111111111,0.9523809523809523,0.030116930096841705,0.9155354449472096,0.9111111111111111,0.9107142857142857,0.9523809523809523
random_forest,0.9809523809523809,0.8888888888888888,0.9523809523809523,0.030116930096841705,0.8981481481481481,0.8888888888888888,0.8877665544332211,0.9523809523809523
stacking,0.9714285714285714,0.9333333333333333,0.9714285714285713,0.023328473740792197,0.9345238095238095,0.9333333333333333,0.9332591768631814,
